,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,id,duration_ms,time_signature
139,0.861,0.645,-6.96,0.0743,0.423,0.000592,0.349,0.668,121.391,2uflssWlCaJ6CbTMOsUpNI,210989,5
140,0.464,0.861,-8.493,0.681,0.00674,0.0,0.703,0.218,64.12,6RVoGOMEywzerRieiw5t9m,87656,4
141,0.839,0.69,-4.464,0.0615,0.207,8.33e-06,0.176,0.744,151.991,6VrQTLzzuyGIYjUDe4kAZk,196413,4
142,0.119,0.375,-13.836,0.0511,0.298,0.927,0.11,0.142,79.575,7k3vvF7gbBVW9ejRn0zBOU,151819,4
143,0.756,0.697,-6.377,0.0401,0.182,0.0,0.333,0.956,94.996,0QBzMgT7NIeoCYy3sJCof1,206071,4
144,0.226,0.58,-3.661,0.0414,0.771,0.0,0.126,0.191,77.726,6hnwbz6odadbu3bmMUHEv4,294827,5
145,0.602,0.796,-5.609,0.0465,0.146,0.0,0.125,0.53,106.005,6AqwH2Y9FJwhUE2dCSkw1u,189780,4
146,0.611,0.398,-10.025,0.0264,0.812,0.947,0.135,0.586,128.136,3zxhdXTqGsmdq3xrRyCTP1,120000,4
147,0.824,0.697,-4.869,0.0473,0.158,4.11e-05,0.077,0.757,99.988,7fYRg3CEbk6rNCuzNzMT06,214460,4
148,0.718,0.584,-9.866,0.0293,0.0498,0.89,0.14,0.587,127.94,19x7ntn4azINjmEIQhtNed,116250,4
149,0.713,0.689,-5.99,0.255,0.16,0.0,0.136,0.63,156.934,1oc92BMKYkNxK17C2GtyRM,171319,4
150,0.572,0.413,-13.481,0.0333,0.557,0.00496,0.112,0.452,166.009,4fLc4EG3fjEvS7l1qiI22w,222374,4
151,0.878,0.685,-5.28,0.225,0.00152,0.0,0.0753,0.523,157.003,3uJFmluXzYedoJcvhpC1AW,211649,4
152,0.9,0.589,-6.862,0.173,0.0334,0.0139,0.0805,0.678,107.993,1c3aklQsFCwptZyLcvE2oe,223190,4
153,0.535,0.618,-5.668,0.382,0.0245,0.0,0.103,0.211,165.991,6ws54n2IzyrIxxyzlG2bVJ,213976,4
154,0.485,0.292,-13.89,0.0274,0.59,9.87e-05,0.11,0.355,96.978,4ZLcLBGnrTGXVK48bzS9ss,201329,4
155,0.817,0.67,-6.534,0.0506,0.123,1.92e-06,0.128,0.495,130.058,4d4ZXH4dr5bYfgErHiZCX2,208615,3
156,0.477,0.543,-9.754,0.04,0.841,8.61e-05,0.0985,0.593,146.401,2yuRiL4D6YuupXs2UiuVCG,98400,4
